workerid,proliferate.condition,f0,id,poa,response,slide_number_in_experiment,vot,word,error
27,young,2,pang_F0_2_VOT_8.wav,lab,lenis,118,8,pang,
27,young,7,pang_F0_7_VOT_4.wav,lab,asp,119,4,pang,
27,young,5,pang_F0_5_VOT_5.wav,lab,asp,120,5,pang,
27,young,4,pang_F0_4_VOT_5.wav,lab,asp,121,5,pang,
27,young,8,pang_F0_8_VOT_8.wav,lab,asp,122,8,pang,
27,young,7,pang_F0_7_VOT_1.wav,lab,tense,123,1,pang,
27,young,4,pang_F0_4_VOT_4.wav,lab,lenis,124,4,pang,
27,young,1,pang_F0_1_VOT_5.wav,lab,lenis,125,5,pang,
27,young,2,pang_F0_2_VOT_3.wav,lab,lenis,126,3,pang,
27,young,5,pang_F0_5_VOT_4.wav,lab,asp,127,4,pang,
27,young,6,pang_F0_6_VOT_1.wav,lab,tense,128,1,pang,
27,young,6,pang_F0_6_VOT_8.wav,lab,asp,129,8,pang,
27,young,6,pang_F0_6_VOT_5.wav,lab,asp,130,5,pang,
27,young,4,pang_F0_4_VOT_6.wav,lab,asp,131,6,pang,
27,young,7,pang_F0_7_VOT_3.wav,lab,asp,132,3,pang,
27,young,5,pang_F0_5_VOT_2.wav,lab,tense,133,2,pang,
27,young,6,pang_F0_6_VOT_7.wav,lab,asp,134,7,pang,
27,young,8,pang_F0_8_VOT_6.wav,lab,asp,135,6,pang,
27,young,5,pang_F0_5_VOT_6.wav,lab,asp,136,6,pang,
27,young,5,pang_F0_5_VOT_7.wav,lab,asp,137,7,pang,
27,young,7,pang_F0_7_VOT_2.wav,lab,tense,138,2,pang,
27,young,5,pang_F0_5_VOT_3.wav,lab,asp,139,3,pang,
27,young,2,pang_F0_2_VOT_6.wav,lab,lenis,140,6,pang,
27,young,7,pang_F0_7_VOT_7.wav,lab,asp,141,7,pang,
27,young,7,pang_F0_7_VOT_8.wav,lab,asp,142,8,pang,
27,young,3,pang_F0_3_VOT_8.wav,lab,asp,143,8,pang,
27,young,3,pang_F0_3_VOT_6.wav,lab,lenis,144,6,pang,
27,young,8,pang_F0_8_VOT_3.wav,lab,asp,145,3,pang,
27,young,5,pang_F0_5_VOT_7.wav,lab,asp,147,7,pang,
27,young,8,pang_F0_8_VOT_4.wav,lab,asp,148,4,pang,
27,young,6,pang_F0_6_VOT_4.wav,lab,asp,149,4,pang,
27,young,2,pang_F0_2_VOT_5.wav,lab,lenis,150,5,pang,
27,young,2,pang_F0_2_VOT_6.wav,lab,lenis,151,6,pang,
27,young,8,pang_F0_8_VOT_6.wav,lab,asp,152,6,pang,
27,young,1,pang_F0_1_VOT_6.wav,lab,lenis,153,6,pang,
27,young,3,pang_F0_3_VOT_4.wav,lab,lenis,154,4,pang,
27,young,4,pang_F0_4_VOT_6.wav,lab,asp,155,6,pang,
27,young,2,pang_F0_2_VOT_2.wav,lab,lenis,156,2,pang,
27,young,5,pang_F0_5_VOT_5.wav,lab,asp,157,5,pang,
27,young,6,pang_F0_6_VOT_5.wav,lab,asp,158,5,pang,
27,young,7,pang_F0_7_VOT_7.wav,lab,asp,159,7,pang,
27,young,4,pang_F0_4_VOT_2.wav,lab,lenis,160,2,pang,
27,young,7,pang_F0_7_VOT_1.wav,lab,tense,161,1,pang,
27,young,7,pang_F0_7_VOT_2.wav,lab,tense,162,2,pang,
27,young,1,pang_F0_1_VOT_8.wav,lab,lenis,163,8,pang,
27,young,3,pang_F0_3_VOT_1.wav,lab,tense,164,1,pang,
27,young,3,pang_F0_3_VOT_8.wav,lab,lenis,165,8,pang,
27,young,6,pang_F0_6_VOT_6.wav,lab,asp,166,6,pang,
27,young,7,pang_F0_7_VOT_5.wav,lab,asp,167,5,pang,
27,young,5,pang_F0_5_VOT_8.wav,lab,asp,168,8,pang,
27,young,1,pang_F0_1_VOT_7.wav,lab,lenis,169,7,pang,
27,young,2,pang_F0_2_VOT_3.wav,lab,lenis,170,3,pang,
27,young,6,pang_F0_6_VOT_2.wav,lab,tense,171,2,pang,
27,young,7,pang_F0_7_VOT_8.wav,lab,asp,172,8,pang,
27,young,3,pang_F0_3_VOT_6.wav,lab,lenis,173,6,pang,
27,young,1,pang_F0_1_VOT_4.wav,lab,lenis,174,4,pang,
27,young,1,pang_F0_1_VOT_2.wav,lab,lenis,175,2,pang,
27,young,5,pang_F0_5_VOT_1.wav,lab,tense,176,1,pang,
27,young,1,pang_F0_1_VOT_1.wav,lab,lenis,177,1,pang,
27,young,6,pang_F0_6_VOT_8.wav,lab,asp,178,8,pang,
27,young,8,pang_F0_8_VOT_3.wav,lab,asp,179,3,pang,
